
Taric,53.04
Annie,52.73
Urgot,52.72
Swain,52.65
Hecarim,52.59
Skarner,52.45
Nunu & Willump,52.43
Galio,52.34
Fizz,52.31
Miss Fortune,52.27
Amumu,52.25
Vi,52.21
Wukong,52.17
Singed,52.16
Brand,52.16
Maokai,52.05
Rammus,52.04
Warwick,51.95
Vel'Koz,51.91
Shyvana,51.80
Jhin,51.80
Blitzcrank,51.75
Yorick,51.74
Rumble,51.68
Fiora,51.65
Soraka,51.64
Zed,51.62
Zyra,51.58
Zac,51.54
Master Yi,51.53
Alistar,51.53
Kayle,51.51
Dr. Mundo,51.45
Jinx,51.42
Janna,51.42
Shaco,51.42
Garen,51.39
Leona,51.37
Nami,51.36
Lux,51.28
Sona,51.28
Kayn,51.23
Ashe,51.18
Nasus,51.16
Ahri,51.15
Fiddlesticks,51.13
Malzahar,51.10
Teemo,51.09
Diana,51.07
Ivern,51.02
Veigar,51.02
Illaoi,51.01
Heimerdinger,51.00
Neeko,50.98
Kled,50.98
Zilean,50.97
Malphite,50.86
Sion,50.81
Shen,50.75
Xerath,50.70
Viktor,50.67
Ziggs,50.63
Vayne,50.61
Graves,50.59
Kha'Zix,50.58
Yasuo,50.57
Sivir,50.56
Lulu,50.55
Morgana,50.48
Ekko,50.44
Anivia,50.44
Quinn,50.37
Draven,50.29
Xin Zhao,50.25
Volibear,50.24
Cassiopeia,50.16
Darius,50.15
Rakan,50.05
Kassadin,50.02
Bard,49.98
Olaf,49.97
Tryndamere,49.96
Udyr,49.94
Lissandra,49.93
Twitch,49.86
Nocturne,49.84
Senna,49.82
Jax,49.80
Kog'Maw,49.79
Mordekaiser,49.74
Caitlyn,49.72
Rengar,49.71
Sett,49.63
Jarvan IV,49.61
Karthus,49.61
Aurelion Sol,49.59
Taliyah,49.54
Orianna,49.49
Talon,49.48
Tristana,49.47
Yuumi,49.33
Nautilus,49.30
Vladimir,49.24
Riven,49.21
Renekton,49.18
Pyke,49.18
Rek'Sai,49.16
Poppy,49.08
Katarina,49.04
Elise,49.03
Ornn,49.01
Camille,49.00
Sejuani,49.00
Kennen,48.95
Xayah,48.93
Trundle,48.84
Kai'Sa,48.83
Aatrox,48.61
Gnar,48.58
Pantheon,48.56
Yone,48.56
Cho'Gath,48.31
Lucian,48.08
Thresh,48.06
Braum,47.90
Corki,47.88
Ryze,47.86
Lillia,47.75
Sylas,47.67
Kalista,47.62
Samira,47.62
Syndra,47.59
Kindred,47.48
Evelynn,47.42
Ezreal,47.36
Zoe,47.16
Jayce,47.06
Irelia,46.98
Varus,46.98
Karma,46.87
Akali,46.77
Gangplank,46.77
LeBlanc,46.62
Gragas,46.55
Aphelios,46.54
Tahm Kench,46.24
Twisted Fate,46.09
Qiyana,44.98
Nidalee,44.95
Lee Sin,44.93
Azir,44.83
